# source: https://www.ecb.europa.eu/press/pr/date/2023/html/index_include.en.html (press releases titled 'Monetary policy decisions') (WebFetch 2026-09-14)
# columns: decision date | title as listed
2023-02-02 | Monetary policy decisions
2023-03-16 | Monetary policy decisions
2023-05-04 | Monetary policy decisions
2023-06-15 | Monetary policy decisions
2023-07-27 | Monetary policy decisions
2023-09-14 | Monetary policy decisions
2023-10-26 | Monetary policy decisions
2023-12-14 | Monetary policy decisions
