# source: https://www.bea.gov/news/archive?title=Personal+Income+and+Outlays&field_related_product_target_id=All&created_1=All (curl 2026-09-15) -- the release list
# source: each release's own BEA page, quoted below per row; the date and time are that page's
#         "EMBARGOED UNTIL RELEASE AT <time> <TZ>, <weekday>, <date>" header (curl 2026-09-15)
# cross-checked against the previous release's "Next release: ..." line and, for every non-08:30
#         release, against the release PDF/TXT itself
# columns: release name | reference month | release date (ISO yyyy-mm-dd) | release time (Eastern, HH:MM 24h)
# 2014-01-31 -> https://www.bea.gov/news/2014/personal-income-and-outlays-december-2013
Personal Income and Outlays | December 2013 | 2014-01-31 | 08:30
# 2014-03-03 -> https://www.bea.gov/news/2014/personal-income-and-outlays-january-2014
Personal Income and Outlays | January 2014 | 2014-03-03 | 08:30
# 2014-03-28 -> https://www.bea.gov/news/2014/personal-income-and-outlays-february-2014
Personal Income and Outlays | February 2014 | 2014-03-28 | 08:30
# 2014-05-01 -> https://www.bea.gov/news/2014/personal-income-and-outlays-march-2014
Personal Income and Outlays | March 2014 | 2014-05-01 | 08:30
# 2014-05-30 -> https://www.bea.gov/news/2014/personal-income-and-outlays-april-2014
Personal Income and Outlays | April 2014 | 2014-05-30 | 08:30
# 2014-06-26 -> https://www.bea.gov/news/2014/personal-income-and-outlays-may-2014
Personal Income and Outlays | May 2014 | 2014-06-26 | 08:30
# 2014-08-01 -> https://www.bea.gov/news/2014/personal-income-and-outlays-june-2014-revised-estimates-1999-through-may-2014
Personal Income and Outlays | June 2014 | 2014-08-01 | 08:30
# 2014-08-29 -> https://www.bea.gov/news/2014/personal-income-and-outlays-july-2014
Personal Income and Outlays | July 2014 | 2014-08-29 | 08:30
# 2014-09-29 -> https://www.bea.gov/news/2014/personal-income-and-outlays-august-2014
Personal Income and Outlays | August 2014 | 2014-09-29 | 08:30
# 2014-10-31 -> https://www.bea.gov/news/2014/personal-income-and-outlays-september-2014
Personal Income and Outlays | September 2014 | 2014-10-31 | 08:30
# 2014-11-26 -> https://www.bea.gov/news/2014/personal-income-and-outlays-october-2014
Personal Income and Outlays | October 2014 | 2014-11-26 | 08:30
# 2014-12-23: released at 10:00, not 08:30: BEA shares the day with its own GDP release, which took the 08:30 slot (archive row for that date confirmed at 08:30)
# 2014-12-23 -> https://www.bea.gov/news/2014/personal-income-and-outlays-november-2014
Personal Income and Outlays | November 2014 | 2014-12-23 | 10:00
