# source: https://www.ecb.europa.eu/press/pr/date/2022/html/index_include.en.html (press releases titled 'Monetary policy decisions') (WebFetch 2026-09-14)
# columns: decision date | title as listed
2022-02-03 | Monetary policy decisions
2022-03-10 | Monetary policy decisions
2022-04-14 | Monetary policy decisions
2022-06-09 | Monetary policy decisions
2022-07-21 | Monetary policy decisions
2022-09-08 | Monetary policy decisions
2022-10-27 | Monetary policy decisions
2022-12-15 | Monetary policy decisions
