# source: https://www150.statcan.gc.ca/n1/daily-quotidien/ (The Daily, one page per release; searched 2026-09-15)
# columns: release name | reference month | release date (ISO yyyy-mm-dd) | release time (Eastern, HH:MM 24h)
# time: 07:00 Eastern through the 2012-03-09 release, 08:30 Eastern from
#      2012-04-05 on.  Note to users, Labour Force Survey Daily of 2011-12-02
#      (daily-quotidien/111202/dq111202a-eng.htm): "Statistics Canada is moving
#      to one release time, 8:30 a.m., for all data releases in The Daily.  This
#      will mean a change in the release time for the Labour Force Survey, which
#      is currently 7:00 a.m.  This change will be implemented with the release
#      of LFS data on April 5, 2012."  Before that the LFS carried its own
#      07:00 embargo ("Not for release before 7 A.M." on the Labour Force
#      Information covers, 71-001-X) while the rest of The Daily went at 08:30.
# gap: the March 2010 reference month (released early April 2010) is NOT in this file.
#      No StatCan page naming that release date could be read; it is not interpolated.
# note: 2010-03-12 comes from the next-release line of the 2010-02-05 Labour Force Survey
#      Daily (daily-quotidien/100205/dq100205a-eng.htm), not from the release page itself.
# page: each row's date is the Daily page named after it
# page: 2010-01-08 -> daily-quotidien/100108/dq100108a-eng.htm
# page: 2010-02-05 -> daily-quotidien/100205/dq100205a-eng.htm
# page: 2010-03-12 -> daily-quotidien/100205/dq100205a-eng.htm (next-release line)
# page: 2010-05-07 -> daily-quotidien/100507/dq100507a-eng.htm
# page: 2010-06-04 -> daily-quotidien/100604/dq100604a-eng.htm
# page: 2010-07-09 -> daily-quotidien/100709/dq100709a-eng.htm
# page: 2010-08-06 -> daily-quotidien/100806/dq100806a-eng.htm
# page: 2010-09-10 -> daily-quotidien/100910/tdq100910-fra.htm
# page: 2010-10-08 -> daily-quotidien/101008/t101008a3-eng.htm
# page: 2010-11-05 -> daily-quotidien/101105/dq101105a-eng.htm
# page: 2010-12-03 -> daily-quotidien/101203/dq101203a-eng.htm
Labour Force Survey | December 2009 | 2010-01-08 | 07:00
Labour Force Survey | January 2010 | 2010-02-05 | 07:00
Labour Force Survey | February 2010 | 2010-03-12 | 07:00
Labour Force Survey | April 2010 | 2010-05-07 | 07:00
Labour Force Survey | May 2010 | 2010-06-04 | 07:00
Labour Force Survey | June 2010 | 2010-07-09 | 07:00
Labour Force Survey | July 2010 | 2010-08-06 | 07:00
Labour Force Survey | August 2010 | 2010-09-10 | 07:00
Labour Force Survey | September 2010 | 2010-10-08 | 07:00
Labour Force Survey | October 2010 | 2010-11-05 | 07:00
Labour Force Survey | November 2010 | 2010-12-03 | 07:00
