# source: https://www150.statcan.gc.ca/n1/daily-quotidien/ (The Daily, one page per release; searched 2026-09-15)
# columns: release name | reference month | release date (ISO yyyy-mm-dd) | release time (Eastern, HH:MM 24h)
# time: 07:00 Eastern through the 2012-03-09 release, 08:30 Eastern from
#      2012-04-05 on.  Note to users, Labour Force Survey Daily of 2011-12-02
#      (daily-quotidien/111202/dq111202a-eng.htm): "Statistics Canada is moving
#      to one release time, 8:30 a.m., for all data releases in The Daily.  This
#      will mean a change in the release time for the Labour Force Survey, which
#      is currently 7:00 a.m.  This change will be implemented with the release
#      of LFS data on April 5, 2012."  Before that the LFS carried its own
#      07:00 embargo ("Not for release before 7 A.M." on the Labour Force
#      Information covers, 71-001-X) while the rest of The Daily went at 08:30.
# page: each row's date is the Daily page named after it
# page: 2021-01-08 -> daily-quotidien/210108/dq210108a-eng.htm
# page: 2021-02-05 -> daily-quotidien/210205/dq210205a-eng.htm
# page: 2021-03-12 -> daily-quotidien/210312/dq210312a-eng.htm
# page: 2021-04-09 -> daily-quotidien/210409/dq210409a-eng.htm
# page: 2021-05-07 -> daily-quotidien/210507/dq210507a-eng.htm
# page: 2021-06-04 -> daily-quotidien/210604/dq210604a-eng.htm
# page: 2021-07-09 -> daily-quotidien/210709/dq210709a-eng.htm
# page: 2021-08-06 -> daily-quotidien/210806/dq210806a-eng.htm
# page: 2021-09-10 -> daily-quotidien/210910/dq210910a-eng.htm
# page: 2021-10-08 -> daily-quotidien/211008/dq211008a-eng.htm
# page: 2021-11-05 -> daily-quotidien/211105/dq211105a-eng.htm
# page: 2021-12-03 -> daily-quotidien/211203/dq211203a-eng.htm
Labour Force Survey | December 2020 | 2021-01-08 | 08:30
Labour Force Survey | January 2021 | 2021-02-05 | 08:30
Labour Force Survey | February 2021 | 2021-03-12 | 08:30
Labour Force Survey | March 2021 | 2021-04-09 | 08:30
Labour Force Survey | April 2021 | 2021-05-07 | 08:30
Labour Force Survey | May 2021 | 2021-06-04 | 08:30
Labour Force Survey | June 2021 | 2021-07-09 | 08:30
Labour Force Survey | July 2021 | 2021-08-06 | 08:30
Labour Force Survey | August 2021 | 2021-09-10 | 08:30
Labour Force Survey | September 2021 | 2021-10-08 | 08:30
Labour Force Survey | October 2021 | 2021-11-05 | 08:30
Labour Force Survey | November 2021 | 2021-12-03 | 08:30
