# source: https://www.bea.gov/news/archive?title=Personal+Income+and+Outlays&field_related_product_target_id=All&created_1=All (curl 2026-09-15) -- the release list
# source: each release's own BEA page, quoted below per row; the date and time are that page's
#         "EMBARGOED UNTIL RELEASE AT <time> <TZ>, <weekday>, <date>" header (curl 2026-09-15)
# cross-checked against the previous release's "Next release: ..." line and, for every non-08:30
#         release, against the release PDF/TXT itself
# columns: release name | reference month | release date (ISO yyyy-mm-dd) | release time (Eastern, HH:MM 24h)
# 2024-01-26 -> https://www.bea.gov/news/2024/personal-income-and-outlays-december-2023
Personal Income and Outlays | December 2023 | 2024-01-26 | 08:30
# 2024-02-29 -> https://www.bea.gov/news/2024/personal-income-and-outlays-january-2024
Personal Income and Outlays | January 2024 | 2024-02-29 | 08:30
# 2024-03-29 -> https://www.bea.gov/news/2024/personal-income-and-outlays-february-2024
Personal Income and Outlays | February 2024 | 2024-03-29 | 08:30
# 2024-04-26 -> https://www.bea.gov/news/2024/personal-income-and-outlays-march-2024
Personal Income and Outlays | March 2024 | 2024-04-26 | 08:30
# 2024-05-31 -> https://www.bea.gov/news/2024/personal-income-and-outlays-april-2024
Personal Income and Outlays | April 2024 | 2024-05-31 | 08:30
# 2024-06-28 -> https://www.bea.gov/index.php/news/2024/personal-income-and-outlays-may-2024
Personal Income and Outlays | May 2024 | 2024-06-28 | 08:30
# 2024-07-26 -> https://www.bea.gov/index.php/news/2024/personal-income-and-outlays-june-2024
Personal Income and Outlays | June 2024 | 2024-07-26 | 08:30
# 2024-08-30 -> https://www.bea.gov/index.php/news/2024/personal-income-and-outlays-july-2024
Personal Income and Outlays | July 2024 | 2024-08-30 | 08:30
# 2024-09-27 -> https://www.bea.gov/news/2024/personal-income-and-outlays-august-2024
Personal Income and Outlays | August 2024 | 2024-09-27 | 08:30
# 2024-10-31 -> https://www.bea.gov/news/2024/personal-income-and-outlays-september-2024
Personal Income and Outlays | September 2024 | 2024-10-31 | 08:30
# 2024-11-27: released at 10:00, not 08:30: BEA shares the day with its own GDP release, which took the 08:30 slot (archive row for that date confirmed at 08:30)
# 2024-11-27 -> https://www.bea.gov/news/2024/personal-income-and-outlays-october-2024
Personal Income and Outlays | October 2024 | 2024-11-27 | 10:00
# 2024-12-20 -> https://www.bea.gov/news/2024/personal-income-and-outlays-november-2024
Personal Income and Outlays | November 2024 | 2024-12-20 | 08:30
