# source: https://www.bea.gov/news/archive?title=Personal+Income+and+Outlays&field_related_product_target_id=All&created_1=All (curl 2026-09-15) -- the release list
# source: each release's own BEA page, quoted below per row; the date and time are that page's
#         "EMBARGOED UNTIL RELEASE AT <time> <TZ>, <weekday>, <date>" header (curl 2026-09-15)
# cross-checked against the previous release's "Next release: ..." line and, for every non-08:30
#         release, against the release PDF/TXT itself
# columns: release name | reference month | release date (ISO yyyy-mm-dd) | release time (Eastern, HH:MM 24h)
# 2010-02-01 -> https://www.bea.gov/news/2010/personal-income-and-outlays-december-2009
Personal Income and Outlays | December 2009 | 2010-02-01 | 08:30
# 2010-03-01 -> https://www.bea.gov/news/2010/personal-income-and-outlays-january-2010
Personal Income and Outlays | January 2010 | 2010-03-01 | 08:30
# 2010-03-29 -> https://www.bea.gov/news/2010/personal-income-and-outlays-february-2010
Personal Income and Outlays | February 2010 | 2010-03-29 | 08:30
# 2010-05-03 -> https://www.bea.gov/news/2010/personal-income-and-outlays-march-2010
Personal Income and Outlays | March 2010 | 2010-05-03 | 08:30
# 2010-05-28 -> https://www.bea.gov/news/2010/personal-income-and-outlays-april-2010
Personal Income and Outlays | April 2010 | 2010-05-28 | 08:30
# 2010-06-28 -> https://www.bea.gov/news/2010/personal-income-and-outlays-may-2010
Personal Income and Outlays | May 2010 | 2010-06-28 | 08:30
# 2010-08-03 -> https://www.bea.gov/news/2010/personal-income-and-outlays-june-2010
Personal Income and Outlays | June 2010 | 2010-08-03 | 08:30
# 2010-08-30 -> https://www.bea.gov/news/2010/personal-income-and-outlays-july-2010
Personal Income and Outlays | July 2010 | 2010-08-30 | 08:30
# 2010-10-01 -> https://www.bea.gov/news/2010/personal-income-and-outlays-august-2010
Personal Income and Outlays | August 2010 | 2010-10-01 | 08:30
# 2010-11-01 -> https://www.bea.gov/news/2010/personal-income-and-outlays-september-2010
Personal Income and Outlays | September 2010 | 2010-11-01 | 08:30
# 2010-11-24 -> https://www.bea.gov/news/2010/personal-income-and-outlays-october-2010
Personal Income and Outlays | October 2010 | 2010-11-24 | 08:30
# 2010-12-23 -> https://www.bea.gov/news/2010/personal-income-and-outlays-november-2010
Personal Income and Outlays | November 2010 | 2010-12-23 | 08:30
