# source: https://www.bea.gov/news/archive?title=Personal+Income+and+Outlays&field_related_product_target_id=All&created_1=All (curl 2026-09-15) -- the release list
# source: each release's own BEA page, quoted below per row; the date and time are that page's
#         "EMBARGOED UNTIL RELEASE AT <time> <TZ>, <weekday>, <date>" header (curl 2026-09-15)
# cross-checked against the previous release's "Next release: ..." line and, for every non-08:30
#         release, against the release PDF/TXT itself
# columns: release name | reference month | release date (ISO yyyy-mm-dd) | release time (Eastern, HH:MM 24h)
# 2016-02-01 -> https://www.bea.gov/news/2016/personal-income-and-outlays-december-2015
Personal Income and Outlays | December 2015 | 2016-02-01 | 08:30
# 2016-02-26: released at 10:00, not 08:30: BEA shares the day with its own GDP release, which took the 08:30 slot (archive row for that date confirmed at 08:30)
# 2016-02-26 -> https://www.bea.gov/news/2016/personal-income-and-outlays-january-2016
Personal Income and Outlays | January 2016 | 2016-02-26 | 10:00
# 2016-03-28 -> https://www.bea.gov/news/2016/personal-income-and-outlays-february-2016
Personal Income and Outlays | February 2016 | 2016-03-28 | 08:30
# 2016-04-29 -> https://www.bea.gov/news/2016/personal-income-and-outlays-march-2016
Personal Income and Outlays | March 2016 | 2016-04-29 | 08:30
# 2016-05-31 -> https://www.bea.gov/news/2016/personal-income-and-outlays-april-2016
Personal Income and Outlays | April 2016 | 2016-05-31 | 08:30
# 2016-06-29 -> https://www.bea.gov/news/2016/personal-income-and-outlays-may-2016
Personal Income and Outlays | May 2016 | 2016-06-29 | 08:30
# 2016-08-02 -> https://www.bea.gov/news/2016/personal-income-and-outlays-june-2016
Personal Income and Outlays | June 2016 | 2016-08-02 | 08:30
# 2016-08-29 -> https://www.bea.gov/news/2016/personal-income-and-outlays-july-2016
Personal Income and Outlays | July 2016 | 2016-08-29 | 08:30
# 2016-09-30 -> https://www.bea.gov/news/2016/personal-income-and-outlays-august-2016
Personal Income and Outlays | August 2016 | 2016-09-30 | 08:30
# 2016-10-31 -> https://www.bea.gov/news/2016/personal-income-and-outlays-september-2016
Personal Income and Outlays | September 2016 | 2016-10-31 | 08:30
# 2016-11-30 -> https://www.bea.gov/news/2016/personal-income-and-outlays-october-2016
Personal Income and Outlays | October 2016 | 2016-11-30 | 08:30
# 2016-12-22: released at 10:00, not 08:30: BEA shares the day with its own GDP release, which took the 08:30 slot (archive row for that date confirmed at 08:30)
# 2016-12-22 -> https://www.bea.gov/news/2016/personal-income-and-outlays-november-2016
Personal Income and Outlays | November 2016 | 2016-12-22 | 10:00
