# source: https://www.ecb.europa.eu/press/pr/date/2016/html/index_include.en.html (press releases titled 'Monetary policy decisions') (WebFetch 2026-09-14)
# columns: decision date | title as listed
2016-01-21 | Monetary policy decisions
2016-03-10 | Monetary policy decisions
2016-04-21 | Monetary policy decisions
2016-06-02 | Monetary policy decisions
2016-07-21 | Monetary policy decisions
2016-09-08 | Monetary policy decisions
2016-10-20 | Monetary policy decisions
2016-12-08 | Monetary policy decisions
