# source: https://www.bls.gov/schedule/2020/home.htm (WebFetch 2026-09-14)
# columns: release name | reference month | release date (as printed) | release time (ET, as printed)
Consumer Price Index | December 2019 | Tuesday, January 14, 2020 | 08:30 AM
Consumer Price Index | January 2020 | Thursday, February 13, 2020 | 08:30 AM
Consumer Price Index | February 2020 | Wednesday, March 11, 2020 | 08:30 AM
Consumer Price Index | March 2020 | Friday, April 10, 2020 | 08:30 AM
Consumer Price Index | April 2020 | Tuesday, May 12, 2020 | 08:30 AM
Consumer Price Index | May 2020 | Wednesday, June 10, 2020 | 08:30 AM
Consumer Price Index | June 2020 | Tuesday, July 14, 2020 | 08:30 AM
Consumer Price Index | July 2020 | Wednesday, August 12, 2020 | 08:30 AM
Consumer Price Index | August 2020 | Friday, September 11, 2020 | 08:30 AM
Consumer Price Index | September 2020 | Tuesday, October 13, 2020 | 08:30 AM
Consumer Price Index | October 2020 | Thursday, November 12, 2020 | 08:30 AM
Consumer Price Index | November 2020 | Thursday, December 10, 2020 | 08:30 AM
Employment Situation | December 2019 | Friday, January 10, 2020 | 08:30 AM
Employment Situation | January 2020 | Friday, February 7, 2020 | 08:30 AM
Employment Situation | February 2020 | Friday, March 6, 2020 | 08:30 AM
Employment Situation | March 2020 | Friday, April 3, 2020 | 08:30 AM
Employment Situation | April 2020 | Friday, May 8, 2020 | 08:30 AM
Employment Situation | May 2020 | Friday, June 5, 2020 | 08:30 AM
Employment Situation | June 2020 | Thursday, July 2, 2020 | 08:30 AM
Employment Situation | July 2020 | Friday, August 7, 2020 | 08:30 AM
Employment Situation | August 2020 | Friday, September 4, 2020 | 08:30 AM
Employment Situation | September 2020 | Friday, October 2, 2020 | 08:30 AM
Employment Situation | October 2020 | Friday, November 6, 2020 | 08:30 AM
Employment Situation | November 2020 | Friday, December 4, 2020 | 08:30 AM
