data root: E:/rust/flowdesk/data-sealed
bars:      XAUDUKA-15m 362803 from 2010-06-01 00:00:00+00:00 to 2025-09-22 23:45:00+00:00
h:         16 bars = 240 minutes.  seeds: 200.  spread 0.28 points round trip

== path efficiency by hour of day against 200 sign-flipped paths ==
effRatio = sum|net| / sum travel over the bucket. The flip keeps every |r| in place,
so travel, volatility clustering and the hour profile are identical and only direction moves.
  bucket       n  effRatio   flipP50   flipP95    pct     walk
     h00   15745    0.2624    0.2728    0.2783     0%   0.2500
     h01   15748    0.2616    0.2681    0.2735     5%   0.2500
     h02   15754    0.2643    0.2684    0.2742    12%   0.2500
     h03   15755    0.2608    0.2699    0.2753     0%   0.2500
     h04   15756    0.2589    0.2671    0.2723     1%   0.2500
     h05   15756    0.2554    0.2639    0.2692     1%   0.2500
     h06   15756    0.2567    0.2644    0.2694     2%   0.2500
     h07   15756    0.2538    0.2640    0.2693     0%   0.2500
     h08   15756    0.2581    0.2738    0.2786     0%   0.2500
     h09   15756    0.2658    0.2816    0.2867     0%   0.2500
     h10   15755    0.2737    0.2797    0.2846     2%   0.2500
     h11   15756    0.2725    0.2742    0.2793    26%   0.2500
     h12   15755    0.2706    0.2715    0.2769    40%   0.2500
     h13   15753    0.2692    0.2709    0.2761    26%   0.2500
     h14   15752    0.2645    0.2714    0.2769     0%   0.2500
     h15   15754    0.2569    0.2705    0.2751     0%   0.2500
     h16   15753    0.2518    0.2707    0.2763     0%   0.2500
     h17   15628    0.2503    0.2793    0.2851     0%   0.2500
     h18   15471    0.2436    0.2842    0.2900     0%   0.2500
     h19   15357    0.2326    0.2828    0.2891     0%   0.2500
     h20   15336    0.2526    0.2854    0.2908     0%   0.2500
     h21    6499    0.2588    0.2798    0.2880     0%   0.2500
     h22   10959    0.2622    0.2755    0.2828     0%   0.2500
     h23   15721    0.2604    0.2720    0.2777     0%   0.2500

== the same for named slices ==
         slice        n  effRatio   flipP50   flipP95    pct
      all bars   362787    0.2607    0.2731    0.2753     0%
    h09-13 UTC    78775    0.2706    0.2751    0.2792     3%
    h12-16 UTC    78767    0.2640    0.2711    0.2748     1%
    h00-06 UTC   110270    0.2597    0.2674    0.2705     0%
    h17-23 UTC    94971    0.2508    0.2798    0.2839     0%
